date,price,search
20-Aug-17,4064.3,100
13-Aug-17,4053.3,88
06-Aug-17,3227.9,63
30-Jul-17,2749.0,65
23-Jul-17,2747.5,48
16-Jul-17,1924.9,52
09-Jul-17,2478.0,45
02-Jul-17,2445.0,40
25-Jun-17,2477.7,49
18-Jun-17,2491.5,48
11-Jun-17,2936.3,58
04-Jun-17,2488.2,54
28-May-17,2056.6,55
21-May-17,2029.2,84
14-May-17,1828.1,50
07-May-17,1619.9,42
30-Apr-17,1435.2,31
23-Apr-17,1355.2,22
16-Apr-17,1212.0,21
09-Apr-17,1215.9,21
02-Apr-17,1107.6,21
26-Mar-17,969.0,21
19-Mar-17,1016.1,25
12-Mar-17,1225.2,25
05-Mar-17,1278.4,29
26-Feb-17,1178.3,26
19-Feb-17,1056.2,22
12-Feb-17,996.0,18
05-Feb-17,1006.6,20
29-Jan-17,912.6,19
22-Jan-17,923.7,18
15-Jan-17,820.7,19
08-Jan-17,915.9,24
01-Jan-17,999.0,32
25-Dec-16,898.0,20
18-Dec-16,790.2,18
11-Dec-16,770.2,14
04-Dec-16,768.5,14
27-Nov-16,725.0,14
20-Nov-16,729.7,14
31-Oct-16,704.1,14
24-Oct-16,654.7,14
17-Oct-16,639.8,14
10-Oct-16,618.9,13
03-Oct-16,612.6,11
26-Sep-16,609.1,12
19-Sep-16,609.8,11
12-Sep-16,611.6,11
05-Sep-16,611.5,11
29-Aug-16,574.8,11
22-Aug-16,588.0,11
15-Aug-16,564.6,10
08-Aug-16,604.1,11
27-Jul-16,654.5,10
20-Jul-16,665.8,11
13-Jul-16,653.7,15
06-Jul-16,677.0,11
29-Jun-16,639.7,11
22-Jun-16,606.0,13
15-Jun-16,696.9,15
08-Jun-16,583.0,15
01-Jun-16,536.8,19
25-May-16,449.1,19
18-May-16,453.5,13
11-May-16,452.3,14
04-May-16,447.4,11
27-Apr-16,445.1,11
20-Apr-16,444.0,12
13-Apr-16,424.8,17
06-Apr-16,422.6,11
30-Mar-16,413.2,10
23-Mar-16,418.1,10
16-Mar-16,417.3,10
09-Mar-16,412.9,10
02-Mar-16,422.2,10
24-Feb-16,426.4,10
17-Feb-16,414.9,10
10-Feb-16,380.9,11
03-Feb-16,369.0,11
27-Jan-16,395.0,12
20-Jan-16,419.4,10
13-Jan-16,431.1,10
06-Jan-16,428.0,10
30-Dec-15,424.7,13
23-Dec-15,442.6,12
16-Dec-15,455.0,11
09-Dec-15,418.7,11
02-Dec-15,359.1,11
25-Nov-15,329.9,13
18-Nov-15,336.0,16
11-Nov-15,314.0,10
04-Nov-15,409.2,10
28-Oct-15,304.5,11
21-Oct-15,267.8,12
14-Oct-15,253.5,17
07-Oct-15,244.2,11
30-Sep-15,236.5,9
23-Sep-15,230.5,9
16-Sep-15,229.0,8
09-Sep-15,238.9,8
02-Sep-15,229.7,8
26-Aug-15,226.2,9
19-Aug-15,226.2,8
12-Aug-15,267.1,8
05-Aug-15,282.6,10
29-Jul-15,289.9,10
22-Jul-15,278.0,8
15-Jul-15,285.4,9
07-Jul-15,265.5,10
30-Jun-15,262.9,9
23-Jun-15,244.3,10
16-Jun-15,252.1,11
09-Jun-15,229.1,10
02-Jun-15,224.7,8
26-May-15,237.4,10
19-May-15,231.7,8
12-May-15,241.8,8
05-May-15,235.9,8
28-Apr-15,225.3,8
21-Apr-15,235.8,8
14-Apr-15,220.2,8
07-Apr-15,253.7,8
31-Mar-15,244.3,8
24-Mar-15,246.0,8
17-Mar-15,285.3,9
10-Mar-15,292.7,9
03-Mar-15,283.8,9
24-Feb-15,239.7,10
17-Feb-15,244.0,10
10-Feb-15,220.9,10
03-Feb-15,228.6,9
27-Jan-15,263.6,11
20-Jan-15,218.0,10
13-Jan-15,229.8,10
06-Jan-15,285.4,11
30-Dec-14,308.8,10
23-Dec-14,332.9,13
16-Dec-14,330.6,11
09-Dec-14,353.9,9
02-Dec-14,382.0,11
25-Nov-14,375.8,10
18-Nov-14,370.0,10
11-Nov-14,367.0,9
04-Nov-14,326.9,9
28-Oct-14,353.1,10
21-Oct-14,382.8,11
14-Oct-14,397.9,9
07-Oct-14,331.0,9
30-Sep-14,387.1,9
23-Sep-14,429.1,10
16-Sep-14,465.1,12
09-Sep-14,472.7,10
02-Sep-14,476.8,11
26-Aug-14,508.4,10
19-Aug-14,490.3,11
12-Aug-14,566.0,11
05-Aug-14,575.0,9
29-Jul-14,575.0,11
22-Jul-14,612.6,12
15-Jul-14,620.9,10
08-Jul-14,618.5,10
01-Jul-14,650.8,10
24-Jun-14,587.3,10
17-Jun-14,614.3,10
10-Jun-14,653.6,10
03-Jun-14,682.9,10
27-May-14,570.0,11
20-May-14,476.0,12
13-May-14,437.3,11
06-May-14,430.0,13
29-Apr-14,434.0,11
22-Apr-14,488.0,10
15-Apr-14,515.0,11
08-Apr-14,448.8,11
01-Apr-14,482.8,12
25-Mar-14,582.0,13
18-Mar-14,618.4,15
11-Mar-14,615.0,15
04-Mar-14,668.0,18
25-Feb-14,515.0,18
18-Feb-14,628.0,20
11-Feb-14,658.9,37
